ready 0, sample15:8  55, state 1, idle 1, addr 300, en 0, wr_sample  73, index 0
ready 0, sample15:8  55, state 1, idle 1, addr 300, en 1, wr_sample  73, index 0
ready 0, sample15:8  55, state 1, idle 1, addr 300, en 0, wr_sample  73, index 0
ready 1, sample15:8  56, state 1, idle 1, addr 300, en 0, wr_sample  72, index 0
ready 1, sample15:8  56, state 1, idle 1, addr 301, en 0, wr_sample  72, index 0
ready 0, sample15:8  56, state 1, idle 1, addr 301, en 0, wr_sample  72, index 0
ready 0, sample15:8  56, state 1, idle 1, addr 301, en 1, wr_sample  72, index 0
ready 0, sample15:8  56, state 1, idle 1, addr 301, en 0, wr_sample  72, index 0
ready 1, sample15:8  57, state 1, idle 1, addr 301, en 0, wr_sample  71, index 0
ready 1, sample15:8  57, state 1, idle 1, addr 302, en 0, wr_sample  71, index 0
ready 0, sample15:8  57, state 1, idle 1, addr 302, en 0, wr_sample  71, index 0
ready 0, sample15:8  57, state 1, idle 1, addr 302, en 1, wr_sample  71, index 0
ready 0, sample15:8  57, state 1, idle 1, addr 302, en 0, wr_sample  71, index 0
ready 1, sample15:8  58, state 1, idle 1, addr 302, en 0, wr_sample  70, index 0
ready 1, sample15:8  58, state 1, idle 1, addr 303, en 0, wr_sample  70, index 0
ready 0, sample15:8  58, state 1, idle 1, addr 303, en 0, wr_sample  70, index 0
ready 0, sample15:8  58, state 1, idle 1, addr 303, en 1, wr_sample  70, index 0
ready 0, sample15:8  58, state 1, idle 1, addr 303, en 0, wr_sample  70, index 0
ready 1, sample15:8  60, state 1, idle 1, addr 303, en 0, wr_sample  68, index 0
ready 1, sample15:8  60, state 1, idle 1, addr 304, en 0, wr_sample  68, index 0
ready 0, sample15:8  60, state 1, idle 1, addr 304, en 0, wr_sample  68, index 0
ready 0, sample15:8  60, state 1, idle 1, addr 304, en 1, wr_sample  68, index 0
ready 0, sample15:8  60, state 1, idle 1, addr 304, en 0, wr_sample  68, index 0
ready 1, sample15:8  61, state 1, idle 1, addr 304, en 0, wr_sample  67, index 0
ready 1, sample15:8  61, state 1, idle 1, addr 305, en 0, wr_sample  67, index 0
ready 0, sample15:8  61, state 1, idle 1, addr 305, en 0, wr_sample  67, index 0
ready 0, sample15:8  61, state 1, idle 1, addr 305, en 1, wr_sample  67, index 0
ready 0, sample15:8  61, state 1, idle 1, addr 305, en 0, wr_sample  67, index 0
ready 1, sample15:8  62, state 1, idle 1, addr 305, en 0, wr_sample  66, index 0
ready 1, sample15:8  62, state 1, idle 1, addr 306, en 0, wr_sample  66, index 0
ready 0, sample15:8  62, state 1, idle 1, addr 306, en 0, wr_sample  66, index 0
ready 0, sample15:8  62, state 1, idle 1, addr 306, en 1, wr_sample  66, index 0
ready 0, sample15:8  62, state 1, idle 1, addr 306, en 0, wr_sample  66, index 0
ready 1, sample15:8  63, state 1, idle 1, addr 306, en 0, wr_sample  65, index 0
ready 1, sample15:8  63, state 1, idle 1, addr 307, en 0, wr_sample  65, index 0
ready 0, sample15:8  63, state 1, idle 1, addr 307, en 0, wr_sample  65, index 0
ready 0, sample15:8  63, state 1, idle 1, addr 307, en 1, wr_sample  65, index 0
ready 0, sample15:8  63, state 1, idle 1, addr 307, en 0, wr_sample  65, index 0
ready 1, sample15:8  65, state 1, idle 1, addr 307, en 0, wr_sample  63, index 0
ready 1, sample15:8  65, state 1, idle 1, addr 308, en 0, wr_sample  63, index 0
ready 0, sample15:8  65, state 1, idle 1, addr 308, en 0, wr_sample  63, index 0
ready 0, sample15:8  65, state 1, idle 1, addr 308, en 1, wr_sample  63, index 0
