out: 0, 600, 1170, 1190, -7768, -15173, 1170, 1170
time   182, ready 0, out1      0, out2    600, out3   1170, out4   1190, out5      0, out6      0, out7      0, out8      0
time   183, ready 0, out1      0, out2    600, out3   1170, out4   1190, out5      0, out6      0, out7      0, out8      0
time   184, ready 0, out1      0, out2    600, out3   1170, out4   1190, out5      0, out6      0, out7      0, out8      0
time   185, ready 0, out1      0, out2    600, out3   1170, out4   1190, out5      0, out6      0, out7      0, out8      0
time   186, ready 0, out1      0, out2    600, out3   1170, out4   1190, out5      0, out6      0, out7      0, out8      0
time   187, ready 0, out1      0, out2    600, out3   1170, out4   1190, out5  -7768, out6      0, out7      0, out8      0
time   188, ready 0, out1      0, out2    600, out3   1170, out4   1190, out5  -7768, out6      0, out7      0, out8      0
time   189, ready 0, out1      0, out2    600, out3   1170, out4   1190, out5  -7768, out6      0, out7      0, out8      0
time   190, ready 0, out1      0, out2    600, out3   1170, out4   1190, out5  -7768, out6      0, out7      0, out8      0
time   191, ready 0, out1      0, out2    600, out3   1170, out4   1190, out5  -7768, out6      0, out7      0, out8      0
time   192, ready 0, out1      0, out2    600, out3   1170, out4   1190, out5  -7768, out6      0, out7      0, out8      0
time   193, ready 0, out1      0, out2    600, out3   1170, out4   1190, out5  -7768, out6      0, out7      0, out8      0
time   194, ready 0, out1      0, out2    600, out3   1170, out4   1190, out5  -7768, out6      0, out7      0, out8      0
time   195, ready 0, out1      0, out2    600, out3   1170, out4   1190, out5  -7768, out6      0, out7      0, out8      0
time   196, ready 0, out1      0, out2    600, out3   1170, out4   1190, out5  -7768, out6      0, out7      0, out8      0
time   197, ready 0, out1      0, out2    600, out3   1170, out4   1190, out5  -7768, out6      0, out7      0, out8      0
time   198, ready 0, out1      0, out2    600, out3   1170, out4   1190, out5  -7768, out6      0, out7      0, out8      0
time   199, ready 0, out1      0, out2    600, out3   1170, out4   1190, out5  -7768, out6      0, out7      0, out8      0
time   200, ready 0, out1      0, out2    600, out3   1170, out4   1190, out5  -7768, out6      0, out7      0, out8      0
time   201, ready 0, out1      0, out2    600, out3   1170, out4   1190, out5  -7768, out6      0, out7      0, out8      0
time   202, ready 0, out1      0, out2    600, out3   1170, out4   1190, out5  -7768, out6      0, out7      0, out8      0
time   203, ready 0, out1      0, out2    600, out3   1170, out4   1190, out5  -7768, out6      0, out7      0, out8      0
time   204, ready 0, out1      0, out2    600, out3   1170, out4   1190, out5  -7768, out6      0, out7      0, out8      0
time   205, ready 0, out1      0, out2    600, out3   1170, out4   1190, out5  -7768, out6      0, out7      0, out8      0
time   206, ready 0, out1      0, out2    600, out3   1170, out4   1190, out5  -7768, out6      0, out7      0, out8      0
time   207, ready 0, out1      0, out2    600, out3   1170, out4   1190, out5  -7768, out6      0, out7      0, out8      0
time   208, ready 0, out1      0, out2    600, out3   1170, out4   1190, out5  -7768, out6      0, out7      0, out8      0
time   209, ready 0, out1      0, out2    600, out3   1170, out4   1190, out5  -7768, out6      0, out7      0, out8      0
time   210, ready 0, out1      0, out2    600, out3   1170, out4   1190, out5  -7768, out6      0, out7      0, out8      0
time   211, ready 0, out1      0, out2    600, out3   1170, out4   1190, out5  -7768, out6      0, out7      0, out8      0
time   212, ready 0, out1      0, out2    600, out3   1170, out4   1190, out5  -7768, out6      0, out7      0, out8      0
time   213, ready 0, out1      0, out2    600, out3   1170, out4   1190, out5  -7768, out6      0, out7      0, out8      0
time   214, ready 0, out1      0, out2    600, out3   1170, out4   1190, out5  -7768, out6      0, out7      0, out8      0
time   215, ready 0, out1      0, out2    600, out3   1170, out4   1190, out5  -7768, out6      0, out7      0, out8      0
time   216, ready 0, out1      0, out2    600, out3   1170, out4   1190, out5  -7768, out6      0, out7      0, out8      0
time   217, ready 0, out1      0, out2    600, out3   1170, out4   1190, out5  -7768, out6      0, out7      0, out8      0
time   218, ready 0, out1      0, out2    600, out3   1170, out4   1190, out5  -7768, out6      0, out7      0, out8      0
time   219, ready 0, out1      0, out2    600, out3   1170, out4   1190, out5  -7768, out6      0, out7      0, out8      0
time   220, ready 0, out1      0, out2    600, out3   1170, out4   1190, out5  -7768, out6      0, out7      0, out8      0
time   221, ready 0, out1      0, out2    600, out3   1170, out4   1190, out5  -7768, out6      0, out7      0, out8      0
time   222, ready 0, out1      0, out2    600, out3   1170, out4   1190, out5  -7768, out6      0, out7      0, out8      0
time   223, ready 0, out1      0, out2    600, out3   1170, out4   1190, out5  -7768, out6 -15173, out7      0, out8      0
time   224, ready 0, out1      0, out2    600, out3   1170, out4   1190, out5  -7768, out6 -15173, out7      0, out8      0
time   225, ready 0, out1      0, out2    600, out3   1170, out4   1190, out5  -7768, out6 -15173, out7      0, out8      0
time   226, ready 0, out1      0, out2    600, out3   1170, out4   1190, out5  -7768, out6 -15173, out7      0, out8      0
time   227, ready 0, out1      0, out2    600, out3   1170, out4   1190, out5  -7768, out6 -15173, out7      0, out8      0
time   228, ready 0, out1      0, out2    600, out3   1170, out4   1190, out5  -7768, out6 -15173, out7      0, out8      0
time   229, ready 0, out1      0, out2    600, out3   1170, out4   1190, out5  -7768, out6 -15173, out7      0, out8      0
time   230, ready 0, out1      0, out2    600, out3   1170, out4   1190, out5  -7768, out6 -15173, out7      0, out8      0
