beat 0, done 0, note  1, sample 32752, ready 0, enable 1
beat 0, done 0, note  1, sample 32762, ready 0, enable 1
beat 0, done 0, note  1, sample 32762, ready 1, enable 1
beat 0, done 0, note  1, sample 32762, ready 0, enable 1
beat 0, done 0, note  1, sample 32767, ready 0, enable 1
beat 0, done 0, note  1, sample 32767, ready 1, enable 1
beat 0, done 0, note  1, sample 32767, ready 0, enable 1
beat 0, done 0, note  1, sample 32763, ready 0, enable 1
beat 0, done 0, note  1, sample 32763, ready 1, enable 1
beat 0, done 0, note  1, sample 32763, ready 0, enable 1
beat 0, done 0, note  1, sample 32753, ready 0, enable 1
beat 0, done 0, note  1, sample 32753, ready 1, enable 1
beat 0, done 0, note  1, sample 32753, ready 0, enable 1
beat 0, done 0, note  1, sample 32735, ready 0, enable 1
beat 0, done 0, note  1, sample 32735, ready 1, enable 1
beat 0, done 0, note  1, sample 32735, ready 0, enable 1
beat 0, done 0, note  1, sample 32711, ready 0, enable 1
beat 0, done 0, note  1, sample 32711, ready 1, enable 1
beat 0, done 0, note  1, sample 32711, ready 0, enable 1
beat 0, done 0, note  1, sample 32682, ready 0, enable 1
beat 0, done 0, note  1, sample 32682, ready 1, enable 1
beat 0, done 0, note  1, sample 32682, ready 0, enable 1
beat 0, done 0, note  1, sample 32642, ready 0, enable 1
beat 0, done 0, note  1, sample 32642, ready 1, enable 1
beat 0, done 0, note  1, sample 32642, ready 0, enable 1
beat 0, done 0, note  1, sample 32599, ready 0, enable 1
beat 0, done 0, note  1, sample 32599, ready 1, enable 1
beat 0, done 0, note  1, sample 32599, ready 0, enable 1
beat 0, done 0, note  1, sample 32545, ready 0, enable 1
beat 0, done 0, note  1, sample 32545, ready 1, enable 1
beat 0, done 0, note  1, sample 32545, ready 0, enable 1
beat 0, done 0, note  1, sample 32489, ready 0, enable 1
beat 0, done 0, note  1, sample 32489, ready 1, enable 1
beat 0, done 0, note  1, sample 32489, ready 0, enable 1
beat 0, done 0, note  1, sample 32427, ready 0, enable 1
beat 0, done 0, note  1, sample 32427, ready 1, enable 1
beat 0, done 0, note  1, sample 32427, ready 0, enable 1
beat 0, done 0, note  1, sample 32351, ready 0, enable 1
beat 0, done 0, note  1, sample 32351, ready 1, enable 1
beat 0, done 0, note  1, sample 32351, ready 0, enable 1
beat 0, done 0, note  1, sample 32276, ready 0, enable 1
beat 0, done 0, note  1, sample 32276, ready 1, enable 1
beat 0, done 0, note  1, sample 32276, ready 0, enable 1
beat 0, done 0, note  1, sample 32185, ready 0, enable 1
beat 0, done 0, note  1, sample 32185, ready 1, enable 1
beat 0, done 0, note  1, sample 32185, ready 0, enable 1
beat 0, done 0, note  1, sample 32098, ready 0, enable 1
beat 0, done 0, note  1, sample 32098, ready 1, enable 1
beat 0, done 0, note  1, sample 32098, ready 0, enable 1
beat 0, done 0, note  1, sample 32004, ready 0, enable 1
beat 0, done 0, note  1, sample 32004, ready 1, enable 1
beat 0, done 0, note  1, sample 32004, ready 0, enable 1
beat 0, done 0, note  1, sample 31892, ready 0, enable 1
beat 0, done 0, note  1, sample 31892, ready 1, enable 1
beat 0, done 0, note  1, sample 31892, ready 0, enable 1
beat 0, done 0, note  1, sample 31785, ready 0, enable 1
beat 0, done 0, note  1, sample 31785, ready 1, enable 1
beat 0, done 0, note  1, sample 31785, ready 0, enable 1
beat 0, done 0, note  1, sample 31672, ready 0, enable 1
beat 0, done 0, note  1, sample 31672, ready 1, enable 1
beat 0, done 0, note  1, sample 31672, ready 0, enable 1
beat 0, done 0, note  1, sample 31539, ready 0, enable 1
beat 0, done 0, note  1, sample 31539, ready 1, enable 1
beat 0, done 0, note  1, sample 31539, ready 0, enable 1
beat 0, done 0, note  1, sample 31414, ready 0, enable 1
beat 0, done 0, note  1, sample 31414, ready 1, enable 1
beat 0, done 0, note  1, sample 31414, ready 0, enable 1
beat 0, done 0, note  1, sample 31267, ready 0, enable 1
beat 0, done 0, note  1, sample 31267, ready 1, enable 1
beat 0, done 0, note  1, sample 31267, ready 0, enable 1
beat 0, done 0, note  1, sample 31129, ready 0, enable 1
beat 0, done 0, note  1, sample 31129, ready 1, enable 1
beat 0, done 0, note  1, sample 31129, ready 0, enable 1
beat 0, done 0, note  1, sample 30985, ready 0, enable 1
beat 0, done 0, note  1, sample 30985, ready 1, enable 1
beat 0, done 0, note  1, sample 30985, ready 0, enable 1
beat 0, done 0, note  1, sample 30818, ready 0, enable 1
beat 0, done 0, note  1, sample 30818, ready 1, enable 1
beat 0, done 0, note  1, sample 30818, ready 0, enable 1
beat 0, done 0, note  1, sample 30661, ready 0, enable 1
beat 0, done 0, note  1, sample 30661, ready 1, enable 1
beat 0, done 0, note  1, sample 30661, ready 0, enable 1
beat 0, done 0, note  1, sample 30480, ready 0, enable 1
beat 0, done 0, note  1, sample 30480, ready 1, enable 1
beat 0, done 0, note  1, sample 30480, ready 0, enable 1
beat 0, done 0, note  1, sample 30311, ready 0, enable 1
beat 0, done 0, note  1, sample 30311, ready 1, enable 1
beat 0, done 0, note  1, sample 30311, ready 0, enable 1
beat 0, done 0, note  1, sample 30136, ready 0, enable 1
beat 0, done 0, note  1, sample 30136, ready 1, enable 1
beat 0, done 0, note  1, sample 30136, ready 0, enable 1
beat 0, done 0, note  1, sample 29936, ready 0, enable 1
beat 0, done 0, note  1, sample 29936, ready 1, enable 1
beat 0, done 0, note  1, sample 29936, ready 0, enable 1
beat 0, done 0, note  1, sample 29749, ready 0, enable 1
beat 0, done 0, note  1, sample 29749, ready 1, enable 1
beat 0, done 0, note  1, sample 29749, ready 0, enable 1
beat 0, done 0, note  1, sample 29534, ready 0, enable 1
beat 0, done 0, note  1, sample 29534, ready 1, enable 1
beat 0, done 0, note  1, sample 29534, ready 0, enable 1
beat 0, done 0, note  1, sample 29336, ready 0, enable 1
beat 0, done 0, note  1, sample 29336, ready 1, enable 1
beat 0, done 0, note  1, sample 29336, ready 0, enable 1
beat 0, done 0, note  1, sample 29131, ready 0, enable 1
beat 0, done 0, note  1, sample 29131, ready 1, enable 1
beat 0, done 0, note  1, sample 29131, ready 0, enable 1
beat 0, done 0, note  1, sample 28898, ready 0, enable 1
beat 0, done 0, note  1, sample 28898, ready 1, enable 1
beat 0, done 0, note  1, sample 28898, ready 0, enable 1
beat 0, done 0, note  1, sample 28682, ready 0, enable 1
beat 0, done 0, note  1, sample 28682, ready 1, enable 1
beat 0, done 0, note  1, sample 28682, ready 0, enable 1
beat 0, done 0, note  1, sample 28460, ready 0, enable 1
beat 0, done 0, note  1, sample 28460, ready 1, enable 1
beat 0, done 0, note  1, sample 28460, ready 0, enable 1
beat 0, done 0, note  1, sample 28208, ready 0, enable 1
beat 0, done 0, note  1, sample 28208, ready 1, enable 1
beat 0, done 0, note  1, sample 28208, ready 0, enable 1
beat 0, done 0, note  1, sample 27975, ready 0, enable 1
beat 0, done 0, note  1, sample 27975, ready 1, enable 1
beat 0, done 0, note  1, sample 27975, ready 0, enable 1
beat 0, done 0, note  1, sample 27710, ready 0, enable 1
beat 0, done 0, note  1, sample 27710, ready 1, enable 1
beat 0, done 0, note  1, sample 27710, ready 0, enable 1
beat 0, done 0, note  1, sample 27466, ready 0, enable 1
beat 0, done 0, note  1, sample 27466, ready 1, enable 1
beat 0, done 0, note  1, sample 27466, ready 0, enable 1
beat 0, done 0, note  1, sample 27217, ready 0, enable 1
beat 0, done 0, note  1, sample 27217, ready 1, enable 1
beat 0, done 0, note  1, sample 27217, ready 0, enable 1
beat 0, done 0, note  1, sample 26934, ready 0, enable 1
beat 0, done 0, note  1, sample 26934, ready 1, enable 1
beat 0, done 0, note  1, sample 26934, ready 0, enable 1
beat 0, done 0, note  1, sample 26674, ready 0, enable 1
beat 0, done 0, note  1, sample 26674, ready 1, enable 1
beat 0, done 0, note  1, sample 26674, ready 0, enable 1
beat 0, done 0, note  1, sample 26378, ready 0, enable 1
beat 0, done 0, note  1, sample 26378, ready 1, enable 1
beat 0, done 0, note  1, sample 26378, ready 0, enable 1
beat 0, done 0, note  1, sample 26108, ready 0, enable 1
beat 0, done 0, note  1, sample 26108, ready 1, enable 1
beat 0, done 0, note  1, sample 26108, ready 0, enable 1
beat 0, done 0, note  1, sample 25832, ready 0, enable 1
beat 0, done 0, note  1, sample 25832, ready 1, enable 1
beat 0, done 0, note  1, sample 25832, ready 0, enable 1
beat 0, done 0, note  1, sample 25519, ready 0, enable 1
beat 0, done 0, note  1, sample 25519, ready 1, enable 1
beat 0, done 0, note  1, sample 25519, ready 0, enable 1
beat 0, done 0, note  1, sample 25233, ready 0, enable 1
beat 0, done 0, note  1, sample 25233, ready 1, enable 1
beat 0, done 0, note  1, sample 25233, ready 0, enable 1
beat 0, done 0, note  1, sample 24942, ready 0, enable 1
beat 0, done 0, note  1, sample 24942, ready 1, enable 1
beat 0, done 0, note  1, sample 24942, ready 0, enable 1
beat 0, done 0, note  1, sample 24613, ready 0, enable 1
beat 0, done 0, note  1, sample 24613, ready 1, enable 1
beat 0, done 0, note  1, sample 24613, ready 0, enable 1
beat 0, done 0, note  1, sample 24312, ready 0, enable 1
beat 0, done 0, note  1, sample 24312, ready 1, enable 1
beat 0, done 0, note  1, sample 24312, ready 0, enable 1
beat 0, done 0, note  1, sample 23973, ready 0, enable 1
