ready 0, sample 51345, state 0, idle 1, addr 256, en 0, wr_sample 183, index 0
ready 0, sample 53650, state 0, idle 1, addr 256, en 0, wr_sample 174, index 0
ready 1, sample 53650, state 0, idle 1, addr 256, en 0, wr_sample 174, index 0
ready 0, sample 53650, state 0, idle 1, addr 256, en 0, wr_sample 174, index 0
ready 0, sample 56024, state 0, idle 1, addr 256, en 0, wr_sample 165, index 0
ready 1, sample 56024, state 0, idle 1, addr 256, en 0, wr_sample 165, index 0
ready 0, sample 56024, state 0, idle 1, addr 256, en 0, wr_sample 165, index 0
ready 0, sample 58455, state 0, idle 1, addr 256, en 0, wr_sample 155, index 0
ready 1, sample 58455, state 0, idle 1, addr 256, en 0, wr_sample 155, index 0
ready 0, sample 58455, state 0, idle 1, addr 256, en 0, wr_sample 155, index 0
ready 0, sample 60927, state 0, idle 1, addr 256, en 0, wr_sample 146, index 0
ready 1, sample 60927, state 0, idle 1, addr 256, en 0, wr_sample 146, index 0
ready 0, sample 60927, state 0, idle 1, addr 256, en 0, wr_sample 146, index 0
ready 0, sample 63426, state 0, idle 1, addr 256, en 0, wr_sample 136, index 0
ready 1, sample 63426, state 0, idle 1, addr 256, en 0, wr_sample 136, index 0
ready 0, sample 63426, state 0, idle 1, addr 256, en 0, wr_sample 136, index 0
ready 0, sample  2110, state 0, idle 1, addr 256, en 0, wr_sample 119, index 0
ready 0, sample   402, state 0, idle 1, addr 256, en 0, wr_sample 126, index 0
ready 1, sample   402, state 0, idle 1, addr 256, en 0, wr_sample 126, index 0
ready 0, sample   402, state 0, idle 1, addr 256, en 0, wr_sample 126, index 0
ready 0, sample   402, state 1, idle 1, addr 256, en 0, wr_sample 126, index 0
ready 0, sample   402, state 1, idle 1, addr 256, en 1, wr_sample 126, index 0
ready 0, sample   402, state 1, idle 1, addr 256, en 0, wr_sample 126, index 0
ready 0, sample  2911, state 1, idle 1, addr 256, en 0, wr_sample 116, index 0
ready 1, sample  2911, state 1, idle 1, addr 256, en 0, wr_sample 116, index 0
ready 0, sample  2911, state 1, idle 1, addr 257, en 0, wr_sample 116, index 0
ready 0, sample  2911, state 1, idle 1, addr 257, en 1, wr_sample 116, index 0
ready 0, sample  2911, state 1, idle 1, addr 257, en 0, wr_sample 116, index 0
ready 0, sample  5404, state 1, idle 1, addr 257, en 0, wr_sample 106, index 0
ready 1, sample  5404, state 1, idle 1, addr 257, en 0, wr_sample 106, index 0
ready 0, sample  5404, state 1, idle 1, addr 258, en 0, wr_sample 106, index 0
ready 0, sample  5404, state 1, idle 1, addr 258, en 1, wr_sample 106, index 0
ready 0, sample  5404, state 1, idle 1, addr 258, en 0, wr_sample 106, index 0
ready 0, sample  7864, state 1, idle 1, addr 258, en 0, wr_sample  97, index 0
ready 1, sample  7864, state 1, idle 1, addr 258, en 0, wr_sample  97, index 0
ready 0, sample  7864, state 1, idle 1, addr 259, en 0, wr_sample  97, index 0
ready 0, sample  7864, state 1, idle 1, addr 259, en 1, wr_sample  97, index 0
ready 0, sample  7864, state 1, idle 1, addr 259, en 0, wr_sample  97, index 0
ready 0, sample 10278, state 1, idle 1, addr 259, en 0, wr_sample  87, index 0
ready 1, sample 10278, state 1, idle 1, addr 259, en 0, wr_sample  87, index 0
ready 0, sample 10278, state 1, idle 1, addr 260, en 0, wr_sample  87, index 0
ready 0, sample 10278, state 1, idle 1, addr 260, en 1, wr_sample  87, index 0
ready 0, sample 10278, state 1, idle 1, addr 260, en 0, wr_sample  87, index 0
ready 0, sample 12632, state 1, idle 1, addr 260, en 0, wr_sample  78, index 0
ready 1, sample 12632, state 1, idle 1, addr 260, en 0, wr_sample  78, index 0
ready 0, sample 12632, state 1, idle 1, addr 261, en 0, wr_sample  78, index 0
ready 0, sample 12632, state 1, idle 1, addr 261, en 1, wr_sample  78, index 0
ready 0, sample 12632, state 1, idle 1, addr 261, en 0, wr_sample  78, index 0
ready 0, sample 14912, state 1, idle 1, addr 261, en 0, wr_sample  69, index 0
ready 1, sample 14912, state 1, idle 1, addr 261, en 0, wr_sample  69, index 0
ready 0, sample 14912, state 1, idle 1, addr 262, en 0, wr_sample  69, index 0
ready 0, sample 14912, state 1, idle 1, addr 262, en 1, wr_sample  69, index 0
ready 0, sample 14912, state 1, idle 1, addr 262, en 0, wr_sample  69, index 0
ready 0, sample 17104, state 1, idle 1, addr 262, en 0, wr_sample  61, index 0
ready 1, sample 17104, state 1, idle 1, addr 262, en 0, wr_sample  61, index 0
ready 0, sample 17104, state 1, idle 1, addr 263, en 0, wr_sample  61, index 0
ready 0, sample 17104, state 1, idle 1, addr 263, en 1, wr_sample  61, index 0
ready 0, sample 17104, state 1, idle 1, addr 263, en 0, wr_sample  61, index 0
ready 0, sample 19195, state 1, idle 1, addr 263, en 0, wr_sample  53, index 0
ready 1, sample 19195, state 1, idle 1, addr 263, en 0, wr_sample  53, index 0
ready 0, sample 19195, state 1, idle 1, addr 264, en 0, wr_sample  53, index 0
ready 0, sample 19195, state 1, idle 1, addr 264, en 1, wr_sample  53, index 0
ready 0, sample 19195, state 1, idle 1, addr 264, en 0, wr_sample  53, index 0
ready 0, sample 21173, state 1, idle 1, addr 264, en 0, wr_sample  45, index 0
ready 1, sample 21173, state 1, idle 1, addr 264, en 0, wr_sample  45, index 0
ready 0, sample 21173, state 1, idle 1, addr 265, en 0, wr_sample  45, index 0
ready 0, sample 21173, state 1, idle 1, addr 265, en 1, wr_sample  45, index 0
ready 0, sample 21173, state 1, idle 1, addr 265, en 0, wr_sample  45, index 0
ready 0, sample 23027, state 1, idle 1, addr 265, en 0, wr_sample  38, index 0
ready 1, sample 23027, state 1, idle 1, addr 265, en 0, wr_sample  38, index 0
ready 0, sample 23027, state 1, idle 1, addr 266, en 0, wr_sample  38, index 0
ready 0, sample 23027, state 1, idle 1, addr 266, en 1, wr_sample  38, index 0
ready 0, sample 23027, state 1, idle 1, addr 266, en 0, wr_sample  38, index 0
ready 0, sample 24746, state 1, idle 1, addr 266, en 0, wr_sample  31, index 0
ready 1, sample 24746, state 1, idle 1, addr 266, en 0, wr_sample  31, index 0
ready 0, sample 24746, state 1, idle 1, addr 267, en 0, wr_sample  31, index 0
ready 0, sample 24746, state 1, idle 1, addr 267, en 1, wr_sample  31, index 0
ready 0, sample 24746, state 1, idle 1, addr 267, en 0, wr_sample  31, index 0
ready 0, sample 26319, state 1, idle 1, addr 267, en 0, wr_sample  25, index 0
ready 1, sample 26319, state 1, idle 1, addr 267, en 0, wr_sample  25, index 0
ready 0, sample 26319, state 1, idle 1, addr 268, en 0, wr_sample  25, index 0
ready 0, sample 26319, state 1, idle 1, addr 268, en 1, wr_sample  25, index 0
ready 0, sample 26319, state 1, idle 1, addr 268, en 0, wr_sample  25, index 0
ready 0, sample 27737, state 1, idle 1, addr 268, en 0, wr_sample  19, index 0
ready 1, sample 27737, state 1, idle 1, addr 268, en 0, wr_sample  19, index 0
ready 0, sample 27737, state 1, idle 1, addr 269, en 0, wr_sample  19, index 0
ready 0, sample 27737, state 1, idle 1, addr 269, en 1, wr_sample  19, index 0
ready 0, sample 27737, state 1, idle 1, addr 269, en 0, wr_sample  19, index 0
ready 0, sample 28992, state 1, idle 1, addr 269, en 0, wr_sample  14, index 0
ready 1, sample 28992, state 1, idle 1, addr 269, en 0, wr_sample  14, index 0
ready 0, sample 28992, state 1, idle 1, addr 270, en 0, wr_sample  14, index 0
ready 0, sample 28992, state 1, idle 1, addr 270, en 1, wr_sample  14, index 0
ready 0, sample 28992, state 1, idle 1, addr 270, en 0, wr_sample  14, index 0
